Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion,ot1,ot2,ot3
4,facilitating,9,600,12,31,0.924258901523332,0.111746031746032,0.720930232558139,3.29785379996619e-17,-0.272586510254553,0
4,facilitating,10,650,9,33,1.26025364022453,0.135113904163394,0.785714285714286,0.0495073771488337,-0.261228738993946,-0.112436199085566
4,facilitating,11,700,9,36,1.34602046198195,0.132660418168709,0.8,0.0990147542976674,-0.227155425212127,-0.208810084016051
4,facilitating,12,750,11,36,1.15496522521924,0.114353782013103,0.765957446808511,0.148522131446501,-0.170366568909095,-0.273059340636375
4,facilitating,13,800,9,37,1.37304913436987,0.131929824561404,0.804347826086957,0.198029508595335,-0.090862170084851,-0.289121654791456
4,facilitating,14,850,9,37,1.37304913436987,0.131929824561404,0.804347826086957,0.247536885744169,0.0113577712606064,-0.240934712326213
4,facilitating,15,900,9,36,1.34602046198195,0.132660418168709,0.8,0.297044262893002,0.136293255127276,-0.112436199085566
4,facilitating,16,950,7,36,1.58240924004618,0.160730593607306,0.837209302325581,0.346551640041836,0.283944281515159,0.112436199085566
4,facilitating,17,1000,6,37,1.75253875607477,0.180512820512821,0.86046511627907,0.39605901719067,0.454310850424255,0.449744796342265
4,neutral,1,200,23,15,-0.416160397224912,0.10706932052162,0.394736842105263,-0.39605901719067,0.454310850424255,-0.449744796342265
4,neutral,2,250,27,15,-0.573345980747325,0.100879765395894,0.357142857142857,-0.346551640041836,0.283944281515159,-0.112436199085566
4,neutral,3,300,27,15,-0.573345980747325,0.100879765395894,0.357142857142857,-0.297044262893002,0.136293255127276,0.112436199085566
4,neutral,4,350,27,15,-0.573345980747325,0.100879765395894,0.357142857142857,-0.247536885744169,0.0113577712606063,0.240934712326213
4,neutral,5,400,24,15,-0.45783309362548,0.10533245556287,0.384615384615385,-0.198029508595335,-0.090862170084851,0.289121654791456
4,neutral,6,450,24,17,-0.336472236621213,0.0979591836734694,0.414634146341463,-0.148522131446501,-0.170366568909095,0.273059340636375
4,neutral,7,500,24,18,-0.280902385466402,0.0948703805846663,0.428571428571429,-0.0990147542976674,-0.227155425212127,0.208810084016052
4,neutral,8,550,24,18,-0.280902385466402,0.0948703805846663,0.428571428571429,-0.0495073771488337,-0.261228738993946,0.112436199085566
4,neutral,9,600,21,18,-0.150282203049338,0.100565681961031,0.461538461538462,3.29785379996619e-17,-0.272586510254553,0
4,neutral,10,650,18,23,0.239229689065834,0.0966072455434158,0.560975609756098,0.0495073771488337,-0.261228738993946,-0.112436199085566
4,neutral,11,700,12,25,0.712949807856125,0.11921568627451,0.675675675675676,0.0990147542976674,-0.227155425212127,-0.208810084016051
4,neutral,12,750,9,31,1.19869574722509,0.137009189640769,0.775,0.148522131446501,-0.170366568909095,-0.273059340636375
4,neutral,13,800,9,33,1.26025364022453,0.135113904163394,0.785714285714286,0.198029508595335,-0.090862170084851,-0.289121654791456
4,neutral,14,850,6,34,1.66915714713572,0.182831661092531,0.85,0.247536885744169,0.0113577712606064,-0.240934712326213
4,neutral,15,900,6,36,1.72551008368685,0.181243414120126,0.857142857142857,0.297044262893002,0.136293255127276,-0.112436199085566
4,neutral,16,950,6,36,1.72551008368685,0.181243414120126,0.857142857142857,0.346551640041836,0.283944281515159,0.112436199085566
4,neutral,17,1000,6,36,1.72551008368685,0.181243414120126,0.857142857142857,0.39605901719067,0.454310850424255,0.449744796342265
5,facilitating,1,200,12,19,0.444685821261446,0.131282051282051,0.612903225806452,-0.39605901719067,0.454310850424255,-0.449744796342265
5,facilitating,2,250,14,18,0.243622082657751,0.123019571295433,0.5625,-0.346551640041836,0.283944281515159,-0.112436199085566
5,facilitating,3,300,14,18,0.243622082657751,0.123019571295433,0.5625,-0.297044262893002,0.136293255127276,0.112436199085566
5,facilitating,4,350,11,18,0.475423696715075,0.141010575793184,0.620689655172414,-0.247536885744169,0.0113577712606063,0.240934712326213
5,facilitating,5,400,9,21,0.816761136527122,0.151774785801714,0.7,-0.198029508595335,-0.090862170084851,0.289121654791456
5,facilitating,6,450,6,23,1.28519824424852,0.196399345335516,0.793103448275862,-0.148522131446501,-0.170366568909095,0.273059340636375
5,facilitating,7,500,3,26,2.02438176449681,0.323450134770889,0.896551724137931,-0.0990147542976674,-0.227155425212127,0.208810084016052
5,facilitating,8,550,0,30,4.11087386417331,2.0327868852459,1,-0.0495073771488337,-0.261228738993946,0.112436199085566
5,facilitating,9,600,0,30,4.11087386417331,2.0327868852459,1,3.29785379996619e-17,-0.272586510254553,0
5,facilitating,10,650,0,31,4.14313472639153,2.03174603174603,1,0.0495073771488337,-0.261228738993946,-0.112436199085566
