Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion
2,facilitating,10,-550,18,15,-0.176930708159078,0.118570183086312,0.454545454545455
2,facilitating,11,-500,18,15,-0.176930708159078,0.118570183086312,0.454545454545455
2,facilitating,12,-450,18,15,-0.176930708159078,0.118570183086312,0.454545454545455
2,facilitating,13,-400,19,12,-0.444685821261446,0.131282051282051,0.387096774193548
2,facilitating,14,-350,21,10,-0.716677677970139,0.141749723145072,0.32258064516129
2,facilitating,15,-300,23,9,-0.905708622543618,0.147816349384099,0.28125
2,facilitating,16,-250,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,17,-200,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,18,-150,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,19,-100,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,20,-50,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,21,0,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,22,50,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,23,100,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,24,150,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,25,200,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,26,250,24,9,-0.947381318944186,0.146079484425349,0.272727272727273
2,facilitating,27,300,22,9,-0.862223510603879,0.149707602339181,0.290322580645161
2,facilitating,28,350,22,9,-0.862223510603879,0.149707602339181,0.290322580645161
2,facilitating,29,400,21,10,-0.716677677970139,0.141749723145072,0.32258064516129
2,facilitating,30,450,21,12,-0.542324290825362,0.126511627906977,0.363636363636364
2,facilitating,31,500,18,13,-0.315081046639895,0.128128128128128,0.419354838709677
2,facilitating,32,550,15,15,0,0.129032258064516,0.5
2,facilitating,33,600,12,20,0.494696241836107,0.128780487804878,0.625
2,facilitating,34,650,7,22,1.09861228866811,0.177777777777778,0.758620689655172
2,facilitating,35,700,6,27,1.44238382777093,0.19020979020979,0.818181818181818
2,facilitating,36,750,6,27,1.44238382777093,0.19020979020979,0.818181818181818
2,facilitating,37,800,6,27,1.44238382777093,0.19020979020979,0.818181818181818
2,facilitating,38,850,5,26,1.57239664075375,0.219554030874786,0.838709677419355
2,facilitating,39,900,6,26,1.40534255609059,0.191582002902758,0.8125
2,facilitating,40,950,6,27,1.44238382777093,0.19020979020979,0.818181818181818
2,facilitating,41,1000,6,27,1.44238382777093,0.19020979020979,0.818181818181818
2,facilitating,42,1050,6,25,1.36687627526279,0.193061840120664,0.806451612903226
2,facilitating,43,1100,3,24,1.94591014905531,0.326530612244898,0.888888888888889
2,facilitating,44,1150,5,26,1.57239664075375,0.219554030874786,0.838709677419355
2,facilitating,45,1200,6,27,1.44238382777093,0.19020979020979,0.818181818181818
2,facilitating,46,1250,6,27,1.44238382777093,0.19020979020979,0.818181818181818
2,facilitating,47,1300,6,27,1.44238382777093,0.19020979020979,0.818181818181818
2,facilitating,48,1350,6,27,1.44238382777093,0.19020979020979,0.818181818181818
2,facilitating,49,1400,6,25,1.36687627526279,0.193061840120664,0.806451612903226
2,facilitating,50,1450,9,24,0.947381318944186,0.146079484425349,0.727272727272727
2,facilitating,51,1500,8,24,1.05860695405441,0.158463385354142,0.75
2,facilitating,52,1550,6,24,1.32687094064909,0.194662480376766,0.8
2,facilitating,53,1600,6,24,1.32687094064909,0.194662480376766,0.8
2,facilitating,54,1650,6,24,1.32687094064909,0.194662480376766,0.8
2,facilitating,55,1700,6,24,1.32687094064909,0.194662480376766,0.8
2,facilitating,56,1750,6,24,1.32687094064909,0.194662480376766,0.8
2,facilitating,57,1800,6,24,1.32687094064909,0.194662480376766,0.8
2,filler,1,-1000,18,6,-1.04596855518269,0.207900207900208,0.25
2,filler,2,-950,18,9,-0.666478933477784,0.159317211948791,0.333333333333333
2,filler,3,-900,18,9,-0.666478933477784,0.159317211948791,0.333333333333333
2,filler,4,-850,18,9,-0.666478933477784,0.159317211948791,0.333333333333333
2,filler,5,-800,18,9,-0.666478933477784,0.159317211948791,0.333333333333333
2,filler,6,-750,18,7,-0.902867711542014,0.187387387387387,0.28
2,filler,7,-700,21,6,-1.19625075823203,0.200357781753131,0.222222222222222
2,filler,8,-650,21,6,-1.19625075823203,0.200357781753131,0.222222222222222
2,filler,9,-600,21,6,-1.19625075823203,0.200357781753131,0.222222222222222
2,filler,10,-550,21,6,-1.19625075823203,0.200357781753131,0.222222222222222
2,filler,11,-500,19,6,-1.09861228866811,0.205128205128205,0.24
2,filler,12,-450,18,9,-0.666478933477784,0.159317211948791,0.333333333333333
2,filler,13,-400,17,9,-0.610909082322973,0.162406015037594,0.346153846153846
2,filler,14,-350,15,10,-0.389464766761723,0.159754224270353,0.4
2,filler,15,-300,15,12,-0.215111379616946,0.144516129032258,0.444444444444444
2,filler,16,-250,15,12,-0.215111379616946,0.144516129032258,0.444444444444444
2,filler,17,-200,15,12,-0.215111379616946,0.144516129032258,0.444444444444444
2,filler,18,-150,15,12,-0.215111379616946,0.144516129032258,0.444444444444444
2,filler,19,-100,14,12,-0.148420005118273,0.148965517241379,0.461538461538462
2,filler,20,-50,12,14,0.148420005118273,0.148965517241379,0.538461538461538
